start_date,end_date,drop_pct,drop_days,drop_speed,vix_start,vix_max,vix_max_date,vix_peak_lead_days,rsi_start,rsi_min,end_5d_speed_pct,mci,label
2000-01-03,2000-01-07,-11.5,4,-2.869,24.209999084472656,27.010000228881836,2000-01-04,3,71.64834320647486,60.69312284004683,0.0,5.8,正常回檔
2000-01-24,2000-01-31,-12.9,5,-2.58,24.06999969482422,26.139999389648438,2000-01-28,1,62.567254589993595,58.01582560464207,-0.76,6.0,正常回檔
2000-03-10,2000-05-24,-23.9,52,-0.46,21.239999771118164,33.4900016784668,2000-04-14,27,66.9406957480603,43.40016402646421,-2.054,10.1,波段底部
2000-07-17,2001-04-04,-23.9,181,-0.132,19.450000762939453,34.720001220703125,2001-04-03,1,53.71654168190291,38.24753735809449,-2.323,7.6,波段底部
2001-05-22,2001-09-21,-23.9,81,-0.295,21.350000381469727,43.7400016784668,2001-09-20,1,49.2047889260459,37.20509740075199,-3.211,15.9,波段底部
2002-01-09,2002-10-10,-23.9,190,-0.126,22.1299991607666,45.08000183105469,2002-08-05,47,53.35203491714112,38.18375713349463,-0.038,10.1,波段底部
2002-12-02,2003-03-12,-23.9,68,-0.352,27.459999084472656,34.689998626708984,2003-01-27,31,53.11460693462969,46.143381135498466,-0.535,7.1,醞釀中/深度回檔
2004-01-26,2004-05-17,-13.4,78,-0.172,14.550000190734863,21.579999923706055,2004-03-22,39,61.64464564876744,45.92597876398104,-0.205,2.6,正常回檔
2004-06-30,2004-08-13,-14.8,31,-0.478,14.34000015258789,19.34000015258789,2004-08-06,5,53.44246757855331,41.73583742291433,-0.221,4.7,正常回檔
2005-01-03,2005-04-29,-13.8,81,-0.17,14.079999923706055,17.739999771118164,2005-04-15,10,57.91048290740519,42.764869601049504,-0.109,2.2,正常回檔
2006-04-20,2006-07-18,-15.3,61,-0.25,11.640000343322754,23.809999465942383,2006-06-13,24,56.11847663490544,40.594903657679275,-0.805,5.3,正常回檔
2007-07-19,2007-08-16,-12.4,20,-0.62,15.229999542236328,30.829999923706055,2007-08-16,0,59.63323790519774,45.88841430675715,-0.825,7.6,正常回檔
2007-10-31,2008-03-17,-24.7,93,-0.265,18.530000686645508,32.2400016784668,2008-03-17,0,58.26473583422955,40.43875227084058,0.071,9.0,醞釀中/深度回檔
2008-05-19,2008-07-15,-15.1,39,-0.386,17.010000228881836,28.540000915527344,2008-07-15,0,52.7891211528334,44.069587963471704,-0.686,6.2,正常回檔
2008-08-15,2008-11-21,-23.9,69,-0.346,19.579999923706055,80.86000061035156,2008-11-20,1,52.05424967143905,36.05073988195185,-1.747,39.3,波段底部
2009-01-06,2009-03-09,-23.9,42,-0.569,38.560001373291016,56.650001525878906,2009-01-20,33,46.60669505908186,41.30795210891577,-0.82,20.2,波段底部
2010-04-26,2010-07-01,-23.9,47,-0.509,17.469999313354492,45.790000915527344,2010-05-20,29,63.06689817069057,43.92286902670741,-1.047,16.7,醞釀中/深度回檔
2011-05-02,2011-08-09,-19.3,69,-0.279,15.989999771118164,48.0,2011-08-08,1,58.30842158938603,38.73937624536917,-1.399,15.4,波段底部
2011-09-20,2011-10-04,-13.0,10,-1.303,32.86000061035156,45.45000076293945,2011-10-03,1,48.75603947167773,43.42897375235803,-1.115,15.9,波段底部
2011-10-27,2011-11-25,-11.3,20,-0.566,25.459999084472656,36.15999984741211,2011-11-09,11,52.768631496416184,46.1289178444435,-1.132,7.0,正常回檔
2012-03-27,2012-06-04,-13.0,47,-0.277,15.59000015258789,26.65999984741211,2012-06-01,1,61.11336835005908,45.24867589742465,-0.546,4.4,正常回檔
2012-09-21,2012-11-16,-12.1,38,-0.318,13.979999542236328,19.079999923706055,2012-11-07,7,58.08206280560973,43.72807814115897,-0.356,3.1,正常回檔
2014-09-19,2014-10-15,-10.7,18,-0.595,12.109999656677246,25.270000457763672,2014-10-15,0,57.34950332050057,45.1699003714019,-1.134,5.9,正常回檔
2015-07-20,2015-08-24,-18.0,25,-0.719,12.25,40.7400016784668,2015-08-24,0,56.76621137821512,39.812876842453385,-2.221,19.6,波段底部
2015-12-02,2016-02-11,-18.7,48,-0.389,15.90999984741211,28.139999389648438,2016-02-11,0,53.63893313304421,40.50676046046555,-1.076,8.3,正常回檔
2018-01-26,2018-02-09,-11.7,10,-1.166,11.079999923706055,37.31999969482422,2018-02-05,4,69.39459741434811,48.99763208595661,-1.012,12.2,正常回檔
2018-03-13,2018-04-02,-10.9,13,-0.837,16.350000381469727,24.8700008392334,2018-03-23,5,58.926103810170275,47.9801391492288,-0.351,5.5,正常回檔
2018-08-30,2018-12-24,-23.9,79,-0.302,13.529999732971191,36.06999969482422,2018-12-24,0,59.15319477771381,38.093086308731095,-1.661,13.6,波段底部
2019-04-29,2019-06-03,-10.8,24,-0.45,13.109999656677246,20.549999237060547,2019-05-13,14,59.26826068579268,45.92885404195581,-0.796,3.7,正常回檔
2020-02-19,2020-03-23,-32.6,23,-1.417,14.380000114440918,82.69000244140625,2020-03-16,5,65.59987182205539,38.72077622702497,-0.127,85.6,史詩大底
2020-09-02,2020-09-21,-12.9,12,-1.073,26.56999969482422,33.599998474121094,2020-09-03,11,63.91080745828826,53.350223234096404,-0.503,6.6,正常回檔
2021-02-16,2021-03-05,-12.5,13,-0.965,21.459999084472656,28.889999389648438,2021-02-25,6,62.826566541152445,51.443929641552636,-0.413,6.0,正常回檔
