period,label,mci,ccs_full_sample,ccs_walk_forward
2000-01-03~2000-01-07,正常回檔,5.804399805083939,29.5,50.0
2000-01-24~2000-01-31,正常回檔,6.044152715801219,32.0,80.0
2000-03-10~2000-05-24,波段底部,10.062826009855305,51.5,70.0
2000-07-17~2001-04-04,波段底部,7.5900579512987365,64.49999999999999,80.0
2001-05-22~2001-09-21,波段底部,15.86205034817603,76.5,80.0
2002-01-09~2002-10-10,波段底部,10.115202093105529,61.0,60.0
2002-12-02~2003-03-12,醞釀中/深度回檔,7.134378617734195,50.99999999999999,50.0
2004-01-26~2004-05-17,正常回檔,2.570945060871943,28.5,22.857142857142854
2004-06-30~2004-08-13,正常回檔,4.652002830367289,32.5,27.5
2005-01-03~2005-04-29,正常回檔,2.237803354312276,32.0,28.888888888888893
2006-04-20~2006-07-18,正常回檔,5.33605451169896,45.99999999999999,51.999999999999986
2007-07-19~2007-08-16,正常回檔,7.646162743234681,41.50000000000001,49.09090909090909
2007-10-31~2008-03-17,醞釀中/深度回檔,8.987179813190224,58.5,63.333333333333336
2008-05-19~2008-07-15,正常回檔,6.21818019058412,44.5,47.69230769230769
2008-08-15~2008-11-21,波段底部,39.34337279101312,78.0,84.28571428571429
2009-01-06~2009-03-09,波段底部,20.196183653727406,58.5,54.666666666666664
2010-04-26~2010-07-01,醞釀中/深度回檔,16.743825193418676,60.5,60.0
2011-05-02~2011-08-09,波段底部,15.449622443751016,70.50000000000001,69.41176470588235
2011-09-20~2011-10-04,波段底部,15.852019920248878,55.0,53.33333333333333
2011-10-27~2011-11-25,正常回檔,6.972488687433291,34.0,29.47368421052632
2012-03-27~2012-06-04,正常回檔,4.368481897844584,38.0,37.0
2012-09-21~2012-11-16,正常回檔,3.0970914645493766,24.0,21.904761904761905
2014-09-19~2014-10-15,正常回檔,5.945544361324077,39.5,40.0
2015-07-20~2015-08-24,波段底部,19.61371411807965,71.5,71.30434782608695
2015-12-02~2016-02-11,正常回檔,8.292114996097375,56.999999999999986,60.0
2018-01-26~2018-02-09,正常回檔,12.201302437190414,50.5,52.8
2018-03-13~2018-04-02,正常回檔,5.473393300428728,25.0,25.384615384615383
2018-08-30~2018-12-24,波段底部,13.570970742678881,74.0,76.29629629629629
2019-04-29~2019-06-03,正常回檔,3.6599430647899744,27.5,25.71428571428571
2020-02-19~2020-03-23,史詩大底,85.56654665731371,61.999999999999986,62.06896551724138
2020-09-02~2020-09-21,正常回檔,6.632091108276959,38.49999999999999,40.0
2021-02-16~2021-03-05,正常回檔,5.968127395591784,26.5,28.387096774193548
2021-11-22~2022-06-16,波段底部,8.13306186189182,65.0,66.25
2022-08-16~2022-10-13,波段底部,11.991136429436027,55.0,55.75757575757575
2022-12-13~2022-12-28,正常回檔,5.490926498434157,35.5,36.470588235294116
2023-02-02~2023-03-13,正常回檔,3.7397790873389027,35.99999999999999,37.71428571428571
2023-07-19~2023-10-26,正常回檔,2.8475275647544347,28.0,29.444444444444446
2024-07-11~2024-08-05,正常回檔,13.952242748444053,58.0,60.54054054054054
2024-12-16~2025-04-07,波段底部,18.048749066366046,78.00000000000001,80.0
2025-10-29~2026-03-30,正常回檔,4.240394995498468,50.5,51.7948717948718
